Site Name,UMD-N-Division,UMD-N-Division
Site Identifier,300027339,300027339
Flow Identifier,353333343,353333344
Flow Name,UMD-N-Division Cyclist IN,UMD-N-Division Cyclist OUT
2022-08-29 07:45,2,3
2022-08-29 08:00,0,3
2022-08-29 08:15,0,1
2022-08-29 08:30,1,1
2022-08-29 08:45,0,1
2022-08-29 09:00,0,0
2022-08-29 09:15,0,1
2022-08-29 09:30,2,1
2022-08-29 09:45,2,2
2022-08-29 10:00,1,0
2022-08-29 10:15,0,0
2022-08-29 10:30,0,0
2022-08-29 10:45,1,0
2022-08-29 11:00,1,2
2022-08-29 11:15,2,0
2022-08-29 11:30,0,0
2022-08-29 11:45,1,0
2022-08-29 12:00,2,1
2022-08-29 12:15,4,1
2022-08-29 12:30,0,0
2022-08-29 12:45,4,1
2022-08-29 13:00,4,0
2022-08-29 13:15,3,0
2022-08-29 13:30,0,1
2022-08-29 13:45,3,0
2022-08-29 14:00,3,1
2022-08-29 14:15,3,1
2022-08-29 14:30,2,0
2022-08-29 14:45,3,0
2022-08-29 15:00,5,2
2022-08-29 15:15,6,2
2022-08-29 15:30,3,3
2022-08-29 15:45,9,0
2022-08-29 16:00,6,1
2022-08-29 16:15,5,0
2022-08-29 16:30,0,0
2022-08-29 16:45,4,0
2022-08-29 17:00,4,1
2022-08-29 17:15,2,0
2022-08-29 17:30,1,1
2022-08-29 17:45,1,1
2022-08-29 18:00,2,0
2022-08-29 18:15,3,0
2022-08-29 18:30,2,1
2022-08-29 18:45,1,0
2022-08-29 19:00,3,2
2022-08-29 19:15,1,1
2022-08-29 19:30,3,1
2022-08-29 19:45,2,0
2022-08-29 20:00,1,0
2022-08-29 20:15,0,0
2022-08-29 20:30,1,0
2022-08-29 20:45,1,0
2022-08-29 21:00,0,1
2022-08-29 21:15,0,0
2022-08-29 21:30,0,0
2022-08-29 21:45,1,0
2022-08-29 22:00,0,0
2022-08-29 22:15,0,0
2022-08-29 22:30,0,0
2022-08-29 22:45,0,0
2022-08-29 23:00,0,0
2022-08-29 23:15,1,0
2022-08-29 23:30,0,0
2022-08-29 23:45,0,1
2022-08-30 00:00,0,0
2022-08-30 00:15,0,1
2022-08-30 00:30,0,0
2022-08-30 00:45,0,0
2022-08-30 01:00,0,0
2022-08-30 01:15,0,0
2022-08-30 01:30,0,0
2022-08-30 01:45,0,0
2022-08-30 02:00,0,0
2022-08-30 02:15,0,0
2022-08-30 02:30,0,0
2022-08-30 02:45,0,0
2022-08-30 03:00,0,0
2022-08-30 03:15,0,0
2022-08-30 03:30,0,0
2022-08-30 03:45,0,0
2022-08-30 04:00,0,0
2022-08-30 04:15,0,0
2022-08-30 04:30,0,0
2022-08-30 04:45,1,0
2022-08-30 05:00,0,0
2022-08-30 05:15,1,0
2022-08-30 05:30,0,0
2022-08-30 05:45,0,0
2022-08-30 06:00,0,0
2022-08-30 06:15,3,0
2022-08-30 06:30,1,0
2022-08-30 06:45,0,1
2022-08-30 07:00,1,0
2022-08-30 07:15,1,0
2022-08-30 07:30,6,1
2022-08-30 07:45,5,4
2022-08-30 08:00,2,4
2022-08-30 08:15,3,1
2022-08-30 08:30,2,0
2022-08-30 08:45,3,2
2022-08-30 09:00,2,2
2022-08-30 09:15,2,3
2022-08-30 09:30,1,2
2022-08-30 09:45,2,2
2022-08-30 10:00,2,0
2022-08-30 10:15,4,1
2022-08-30 10:30,3,0
2022-08-30 10:45,3,1
2022-08-30 11:00,2,0
2022-08-30 11:15,1,2
2022-08-30 11:30,1,1
2022-08-30 11:45,3,0
2022-08-30 12:00,2,1
2022-08-30 12:15,4,0
2022-08-30 12:30,2,1
2022-08-30 12:45,2,3
2022-08-30 13:00,5,2
2022-08-30 13:15,0,1
2022-08-30 13:30,0,1
2022-08-30 13:45,7,2
2022-08-30 14:00,4,1
2022-08-30 14:15,2,0
2022-08-30 14:30,5,3
2022-08-30 14:45,4,0
2022-08-30 15:00,3,3
2022-08-30 15:15,4,1
2022-08-30 15:30,7,0
2022-08-30 15:45,6,1
2022-08-30 16:00,5,1
2022-08-30 16:15,9,2
2022-08-30 16:30,3,1
2022-08-30 16:45,7,1
2022-08-30 17:00,7,3
2022-08-30 17:15,7,0
2022-08-30 17:30,7,2
2022-08-30 17:45,3,1
2022-08-30 18:00,3,1
2022-08-30 18:15,4,0
2022-08-30 18:30,4,1
2022-08-30 18:45,10,1
2022-08-30 19:00,3,0
2022-08-30 19:15,5,1
2022-08-30 19:30,2,1
2022-08-30 19:45,2,0
2022-08-30 20:00,5,0
2022-08-30 20:15,3,1
2022-08-30 20:30,1,0
2022-08-30 20:45,0,0
2022-08-30 21:00,3,0
2022-08-30 21:15,0,1
2022-08-30 21:30,2,0
2022-08-30 21:45,1,0
2022-08-30 22:00,0,0
2022-08-30 22:15,0,0
2022-08-30 22:30,1,0
2022-08-30 22:45,1,0
2022-08-30 23:00,0,0
2022-08-30 23:15,2,1
2022-08-30 23:30,1,0
2022-08-30 23:45,0,0
2022-08-31 00:00,0,0
2022-08-31 00:15,0,0
2022-08-31 00:30,1,0
2022-08-31 00:45,0,0
2022-08-31 01:00,0,0
2022-08-31 01:15,0,0
2022-08-31 01:30,0,0
2022-08-31 01:45,0,0
2022-08-31 02:00,0,0
2022-08-31 02:15,0,0
2022-08-31 02:30,0,0
2022-08-31 02:45,0,0
2022-08-31 03:00,0,0
2022-08-31 03:15,0,0
2022-08-31 03:30,1,0
2022-08-31 03:45,0,0
2022-08-31 04:00,0,0
2022-08-31 04:15,0,0
2022-08-31 04:30,0,0
2022-08-31 04:45,0,0
2022-08-31 05:00,0,0
2022-08-31 05:15,1,0
2022-08-31 05:30,0,0
2022-08-31 05:45,0,0
2022-08-31 06:00,0,0
2022-08-31 06:15,2,0
2022-08-31 06:30,1,0
2022-08-31 06:45,1,0
2022-08-31 07:00,0,2
2022-08-31 07:15,3,1
2022-08-31 07:30,4,1
2022-08-31 07:45,9,2
2022-08-31 08:00,3,3
2022-08-31 08:15,1,4
2022-08-31 08:30,1,1
2022-08-31 08:45,5,0
2022-08-31 09:00,2,0
2022-08-31 09:15,1,1
2022-08-31 09:30,3,3
2022-08-31 09:45,3,4
2022-08-31 10:00,6,1
2022-08-31 10:15,5,0
2022-08-31 10:30,0,0
2022-08-31 10:45,0,1
2022-08-31 11:00,5,1
2022-08-31 11:15,7,1
2022-08-31 11:30,3,2
2022-08-31 11:45,3,0
2022-08-31 12:00,2,0
2022-08-31 12:15,2,3
2022-08-31 12:30,2,0
2022-08-31 12:45,4,1
2022-08-31 13:00,6,1
2022-08-31 13:15,6,2
2022-08-31 13:30,2,0
2022-08-31 13:45,3,4
2022-08-31 14:00,3,1
2022-08-31 14:15,6,0
2022-08-31 14:30,11,0
2022-08-31 14:45,4,1
2022-08-31 15:00,2,1
2022-08-31 15:15,7,1
2022-08-31 15:30,4,0
2022-08-31 15:45,2,0
2022-08-31 16:00,6,0
2022-08-31 16:15,3,4
2022-08-31 16:30,6,2
2022-08-31 16:45,4,4
2022-08-31 17:00,20,2
2022-08-31 17:15,9,2
2022-08-31 17:30,5,2
2022-08-31 17:45,10,0
2022-08-31 18:00,7,0
2022-08-31 18:15,7,0
2022-08-31 18:30,7,2
2022-08-31 18:45,3,1
2022-08-31 19:00,7,2
2022-08-31 19:15,4,1
2022-08-31 19:30,7,1
2022-08-31 19:45,5,0
2022-08-31 20:00,5,0
2022-08-31 20:15,6,1
2022-08-31 20:30,4,0
2022-08-31 20:45,3,0
2022-08-31 21:00,3,0
2022-08-31 21:15,2,0
2022-08-31 21:30,4,1
2022-08-31 21:45,0,0
2022-08-31 22:00,0,0
2022-08-31 22:15,1,0
2022-08-31 22:30,1,0
2022-08-31 22:45,0,0
2022-08-31 23:00,0,0
2022-08-31 23:15,0,1
2022-08-31 23:30,1,0
2022-08-31 23:45,0,0
2022-09-01 00:00,0,1
2022-09-01 00:15,1,0
2022-09-01 00:30,0,0
2022-09-01 00:45,0,0
2022-09-01 01:00,0,0
2022-09-01 01:15,0,0
2022-09-01 01:30,0,0
2022-09-01 01:45,0,0
2022-09-01 02:00,0,0
2022-09-01 02:15,0,0
2022-09-01 02:30,0,0
